Processo,Classe/Assunto,Relator(a),Comarca,Órgão julgador,Data do julgamento,Data de publicação,Ementa;;;;;;;;;;;;;;;;;;;;;;
"0001353-67.2017.8.12.0035,Apelação Criminal / Área de Preservação Permanente,Des. Paschoal Carmello Leandro,Iguatemi,1ª Câmara Criminal,2021-08-24,2021-08-30,""Ementa: APELAÇÃO CRIMINAL DEFENSIVA – CRIME AMBIENTAL – ARTIGO 38 DA LEI 9.605/1998 – PRELIMINAR DE CERCEAMENTO DE DEFESA – REJEIÇÃO MANTIDA – QUANTO AO MÉRITO: PRETENDIDA ABSOLVIÇÃO – INSUFICIÊNCIA PROBATÓRIA – POSSIBILIDADE – RELATÓRIO DE INFORMAÇÕES COMPLEMENTARES E EXAME PERICIAL INDIRETO – EXISTÊNCIA DE DÚVIDAS E DUBIEDADES – IMPOSSIBILIDADE DE VISUALIZAÇÃO NÍTIDA DAS FOTOS DOS DANOS – AUSÊNCIA DE REALIZAÇÃO DE PERÍCIA TÉCNICA NECESSÁRIA E LAUDO PERICIAL CONCLUSIVO – INEXISTÊNCIA DE PROVAS SUFICIENTES PARA A CONDENAÇÃO – ABSOLVIÇÃO NECESSÁRIA – PREQUESTIONAMENTO – DESNECESSIDADE DE MANIFESTAÇÃO EXPRESSA – RECURSO PROVIDO. A ocorrência de danos ambientais decorrentes de infração ao artigo 38, da Lei 9.605/1998 deixa vestígios, exigindo a realização de pericial técnica in loco, realizada por perito/profissional qualificado, com formação e conhecimento expressivo na área ambiental, sem o que não há como se oportunizar ao julgador a certeza necessária ao decreto condenatório. E existência de fotos dos alegados danos ambientais, que deram fundamento ao relatório de informações complementares e ao laudo pericial indireto que, contudo, nestes autos se mostram imprestáveis ante a impossibilidade de visualização a contento das mesmas, aliadas as dúvidas e dubiedades que emergem dos respectivos documentos que as contém, não se mostram aptas para embasar a condenação. Caracterizada a inexistência de provas suficientes e aptas para a condenação, exsurge a necessidade de absolvição do réu/apelante, nos termos do artigo 386, VII, do Código de Processo Penal. O prequestionamento não obriga o magistrado a abordar artigo por artigo de lei, mas tão somente a apreciar os pedidos e a causa de pedir, fundamentando a matéria que interessa ao correto julgamento da lide, o que, de fato, foi feito. Contra o parecer, recurso provido.""";;;;;;;;;;;;;;;;;;;;;;
"0041884-50.2010.8.12.0001,Embargos de Declaração Criminal / Extinção da Punibilidade,Des. Luiz Claudio Bonassini da Silva,Campo Grande,3ª Câmara Criminal,2021-08-24,2021-08-30,""Ementa: EMBARGOS DE DECLARAÇÃO – CRIME AMBIENTAL – ART. 68 DA LEI N. 9.605/98 – PRESCRIÇÃO PELA PENA IN ABSTRATO OPERADA APÓS O JULGAMENTO DO ACÓRDÃO – MATÉRIA DE ORDEM PÚBLICA – ACOLHIDOS. I – Por força do artigo 61 do Código de Processo Penal, a prescrição, que é causa de extinção da punibilidade e, como tal, matéria de ordem pública, deve ser declarada a qualquer tempo, até mesmo de ofício, como preliminar, sobrepondo-se às questões de mérito, inclusive à própria possibilidade de absolvição. II – Se entre a data do recebimento da denúncia e da publicação do acórdão decorreu prazo superior ao previsto em lei para fins de prescrição, deve-se declarar extinta a punibilidade do agente. III – Embargos acolhidos.""";;;;;;;;;;;;;;;;;;;;;;
"0801704-24.2014.8.12.0031,Apelação Cível / Flora,Des. Geraldo de Almeida Santiago,Caarapó,1ª Câmara Cível,2021-08-20,2021-08-25,""Ementa: APELAÇÃO CÍVEL. AÇÃO CIVIL PÚBLICA. DANO AMBIENTAL NÃO COMPROVADO. IMPROCEDÊNCIA MANTIDA. Inexistindo prova nos autos do efetivo dano ambiental, não há que se falar em recuperação de eventual área atingida, sendo a manutenção da sentença guerreada medida imperativa. Contra o parecer da PGJ, recurso conhecido e desprovido.""";;;;;;;;;;;;;;;;;;;;;;
"1405404-42.2020.8.12.0000,Agravo de Instrumento / Indenização por Dano Ambiental,Des. Geraldo de Almeida Santiago,Eldorado,1ª Câmara Cível,2021-08-20,2021-08-25,""Ementa: AGRAVO DE INSTRUMENTO AÇÃO CIVIL PÚBLICA – MEIO AMBIENTE - TUTELA PROVISÓRIA DE URGÊNCIA DEFERIDA – LANÇAMENTO DE EFLUENTES – MODIFICAÇÃO DA QUALIDADE DO RECURSO HÍDRICO – DESCARACTERIZAÇÃO DA ÁREA DE PRESERVAÇÃO PERMANENTE – PROBABILIDADE DO DIREITO INVOCADO E PERIGO DA DEMORA QUE SE ENCONTRAM PRESENTES - COM O PARECER DA PGJ - RECURSO CONHECIDO E DESPROVIDO. 1) É inconteste o dano ambiental em comento, ao passo que a providências determinadas, em sede de tutela provisória são adequadas e plausíveis à recuperação do até então apurado. 2) Analisando segundo dispõe o legislador processualista civil, o perigo da demora está caracterizado, porquanto os impactos ambientais que ocorreram e ocorrerão em curto espaço de tempo são significativos e talvez irreversíveis, daí porque a não obtenção de um provimento jurisdicional cautelar poderá ocasionar danos ambientais irreparáveis. 3) Quanto ao prazo para cumprimento das obrigações, o mesmo mostra-se razoável e plausível, sobretudo em razão da premente necessidade de evitar a irreversibilidade do dano ambiental, e maiores prejuízos ao meio ambiente ecologicamente equilibrado. 4) Com o parecer da PGJ, recurso conhecido e desprovido.""";;;;;;;;;;;;;;;;;;;;;;
"0001838-24.2008.8.12.0022,Apelação Cível / Esbulho / Turbação / Ameaça,Des. Sérgio Fernandes Martins,Anaurilândia,1ª Câmara Cível,2021-08-23,2021-08-25,""Ementa: APELAÇÃO CÍVEL. AÇÃO DE REINTEGRAÇÃO DE POSSE. REQUISITOS DO ARTIGO 561 DO CÓDIGO DE PROCESSO CIVIL. NÃO PREENCHIDOS. ESBULHO NÃO COMPROVADO. DANO AMBIENTAL INEXISTENTE. SENTENÇA MANTIDA. RECURSO NÃO PROVIDO. 1. Mantém-se a sentença que indeferiu os pedidos contidos na ação de reintegração de posse, em razão de não se encontrarem preenchidos os requisitos do art. 561, do Código de Processo Civil, vez que ausente a prova do esbulho alegado. 2. As obras realizadas pelo requerido não foram capazes de ocasionar consequências prejudiciais ao meio ambiente, motivo pelo qual não há falar em dano ambiental.""";;;;;;;;;;;;;;;;;;;;;;
"0800437-65.2014.8.12.0015,Apelação / Remessa Necessária / Recurso,Des. Geraldo de Almeida Santiago,Miranda,1ª Câmara Cível,2021-08-19,2021-08-24,""Ementa: REEXAME NECESSÁRIO E RECURSO DE APELAÇÃO EM AÇÃO CIVIL PÚBLICA POR DANO AMBIENTAL – RIO MIRANDA – SENTENÇA DE PARCIAL PROCEDÊNCIA – PEDIDO DE DEMOLIÇÃO JULGADO IMPROCEDENTE – EDIFICAÇÃO EM ÁREA DE PRESERVAÇÃO PERMANENTE - DESPROPORÇÃO DA MEDIDA - HIPÓTESE DE EXCEÇÃO DISPOSTA NO NOVO CÓDIGO FLORESTAL – CONTRA O PARECER DA PGJ – RECURSOS CONHECIDOS E NÃO PROVIDOS. 1) É certo que o texto constitucional, no seu art. 225, assegura que todos têm direito ao meio ambiente ecologicamente equilibrado, bem de uso comum do povo e essencial à sadia qualidade de vida, impondo-se ao Poder Público e à coletividade o dever de defendê-lo e preservá-lo para as presentes e futuras gerações. 2) Por sua vez, o art. 61-A e §12 do Código Florestal vigente permite a continuidade de atividades agrossilvipastoris, de ecoturismo e de turismo rural consolidadas em área de preservação permanente até 22/07/2008. 3) Contrário ao parecer da PGJ, Recurso conhecido e desprovido, sentença confirmada em reexame necessário.""";;;;;;;;;;;;;;;;;;;;;;
"0900158-76.2017.8.12.0017,Apelação Cível / Dano Ambiental,Des. Júlio Roberto Siqueira Cardoso,Nova Andradina,4ª Câmara Cível,2021-08-18,2021-08-23,""Ementa: APELAÇÃO CÍVEL - AÇÃO CIVIL PÚBLICA - PRELIMINARES DE NULIDADE DA SENTENÇA, CERCEAMENTO DE DEFESA E DECISÃO ULTRA PETITA E EXTRA PETITA - AFASTADAS - MÉRITO - DRENAGEM ARTIFICIAL EM ÁREA RURAL SEM LICENCIAMENTO - DANO AMBIENTAL CONFIGURADO - LAUDO TÉCNICO CONCLUSIVO - OBRIGAÇÕES IMPOSTAS PELO JUÍZO A QUO MANTIDAS - SUSPENSÃO DO FEITO ATÉ DECISÃO DO IMASUL QUANTO AO PEDIDO DE REGULARIZAÇÃO DA DRENAGEM - IMPOSSIBILIDADE - PEDIDO DE RATEIO DOS HONORÁRIOS PERICIAIS - PREJUDICADO - RECURSO CONHECIDO E DESPROVIDO""";;;;;;;;;;;;;;;;;;;;;;
"0803805-88.2019.8.12.0021,Apelação Cível / Dano Ambiental,Des. Geraldo de Almeida Santiago,Três Lagoas,1ª Câmara Cível,2021-08-04,2021-08-10,""Ementa: AÇÃO DE INDENIZAÇÃO POR DANOS MATERIAIS E MORAIS – FALTA DE ENERGIA NA USINA ENG. SOUZA DIAS – MORTANDADE DE PEIXES – QUESTÃO AMBIENTAL POR VIA REFLEXA – PRETENSÃO INDENIZATÓRIA INDIVIDUAL – PRAZO PRESCRICIONAL – TRÊS ANOS – ARTIGO 206, §3º, INCISO V DO CÓDIGO CIVIL – CONTAGEM A PARTIR DO ATO – PRETENSÃO PRESCRITA – SENTENÇA MANTIDA - HOMOLOGAÇÃO DO PEDIDO DE DESISTÊNCIA EM RELAÇÃO A UMA DAS REQUERIDAS - RECURSO CONHECIDO E NÃO PROVIDO. Preliminarmente homologo o pedido de desistência do recurso interposto contra uma das requeridas, nos termos do art. 998 do Código de Processo Civil. Ainda que o pleito indenizatório trate, por via reflexa, de questão ambiental, referente à morte de diversas espécies de peixes, cinge-se a busca jurisdicional tão somente em reparação de dano individual supostamente sofrido pelo autor. Portanto, não há falar, no caso em tela, em defesa de interesse jurídico coletivo, consubstanciado em dano ambiental. Conforme artigo 189 do Código Civil, aplica-se o princípio da acto nata, contando-se o prazo prescricional a partir da data em que nasce a pretensão da ação, qual seja, em 10 de novembro de 2009, fazendo com que a pretensão estivesse fulminada pela prescrição quando do ajuizamento da demanda. Embora o apelante sustente que só tomou conhecimento dos fatos em meados de 2018, tal afirmação não pode ser acolhida, uma vez que não há como falar que a data do conhecimento do dano esteja dissociada da efetiva data de ocorrência do evento danoso, diante dos vultosos prejuízos materiais alegados pelo autor/recorrente em decorrência do fato ora discutido, com a diminuição drástica na quantidade de peixes que seria de fácil verificação pelo apelante, cuja profissão é de pescador.""";;;;;;;;;;;;;;;;;;;;;;
"1414663-95.2019.8.12.0000,Agravo de Instrumento / Tutela de Urgência,Des. Geraldo de Almeida Santiago,Campo Grande,1ª Câmara Cível,2021-08-04,2021-08-10,""Ementa: AGRAVO DE INSTRUMENTO - PREVIDENCIÁRIO – APOSENTADORIA – DOENÇA LABORAL – AGRAVAMENTO DE ENFERMIDADE EM DECORRÊNCIA DE FATOR ESTRESSANDO AMBIENTAL NO DESEMPENHO DA ATIVIDADE NO TRIBUNAL DO JURI – PROBABILIDADE DO DIREITO – TUTELA DEFERIDA E CONFIRMADA NO MÉRITO. CONTRÁRIO AO PARECER DA PGJ, RECURSO CONHECIDO E PROVIDO, CONFIRMANDO A LIMINAR ANTERIORMENTE DEFERIDA. 1) Constam nos autos elementos concretos que apontam a probabilidade do nexo de causalidade entre a patologia que deu ensejo à aposentadoria do agravante e o trabalho desenvolvido como Promotor de Justiça. 2) Nesse passo, laudo médico que atesta que fator estressante ambiental pode ter agido como favor agravante, em indivíduo predisposto geneticamente";" e registros de que o agravante, o qual atuou por mais de 2 anos no Tribunal do Júri, apresentou comportamento inadequado em plenário, situação que, segundo destacado pelo próprio Corregedor Geral da Instituição à época pode ter sido desencadeada pelo estresse em razão da extensa pauta de audiências e julgamentos a que estava submetido o agravante naqueles dias, somado à sua condição de saúde 3) No que tange à concessão de liminar satisfativa contra o Poder Público, a vedação legal não subsiste em causas que ostentem natureza previdenciária, como as discussões que envolvem proventos de aposentadoria de servidor público, a teor do contido na Súmula nº 729 do STF. 4) Contrário ao parecer da PGJ, recurso conhecido e provido, decisão do juízo a quo reformada.""";;;;;;;;;;;;;;;;;;;;;
"0900020-63.2018.8.12.0021,Apelação Cível / Obrigação de Fazer / Não Fazer,Des. Geraldo de Almeida Santiago,Três Lagoas,1ª Câmara Cível,2021-08-04,2021-08-10,""Ementa: APELAÇÕES CÍVEIS DA AGÊNCIA ESTADUAL DE ADMINISTRAÇÃO DO SISTEMA PENITENCIÁRIO E DO ESTADO DE MATO GROSSO DO SUL – AÇÃO CIVIL PÚBLICA COM PEDIDO DE OBRIGAÇÃO DE FAZER – PRELIMINAR CONTRARRECURSAL DE ILEGITIMIDADE PASSIVA DO ESTADO DE MATO GROSSO DO SUL – SOLIDARIEDADE – PRELIMINAR REJEITADA – MÉRITO – DANO AMBIENTAL – RESERVATÓRIO DE ESGOTO INTERLIGADO AO RESERVATÓRIO DE CAPTAÇÃO DE ÁGUAS FLUVIAIS – AUSÊNCIA DE LICENCIAMENTO AMBIENTAL – TRATAMENTO DO ESGOTO –PEDIDO DE DILATAÇÃO DE PRAZO PARA O TRATAMENTO DOS EFLUENTES – PRORROGAÇÃO CONCEDIDA – MANTENÇA DA MULTA – RECURSOS CONHECIDOS E PARCIALMENTE PROVIDOS. I - O Estado alega que é parte ilegítima para compor o polo passivo da demanda, tendo em vista que os danos ambientais verificados se deram no estabelecimento prisional, motivo pelo qual apenas a Agepen deve permanecer no polo passivo, haja vista que possuem personalidade jurídica distintas e inexistem vínculos de solidariedade. Entretanto, a preliminar merece ser rejeitada, pois a responsabilidade na hipótese de dano ambiental é objetiva, sendo os causadores obrigados a indenização ou reparação correspondente. II - Extrai-se do artigo 225 da Constituição Federal de 1988 a disposição de que todos têm direito ao meio ambiente ecologicamente equilibrado, bem de uso comum do povo e essencial à sadia qualidade de vida, impondo-se ao Poder Público e à coletividade o dever de defendê-lo e preservá- lo para as presentes e futuras gerações. III - O ordenamento infraconstitucional também se preocupou em proteger o meio ambiente, tornando-o equilibrado e saudável. Para tanto, foi promulgada a Lei nº 6.938/1981, que dispõe sobre a Política Nacional do Meio Ambiente, seus fins e mecanismos de formulação e aplicação. Sobredita norma legal preceitua em seu artigo 2º que a Política Nacional do Meio Ambiente tem por objetivo a preservação, melhoria e recuperação da qualidade ambiental propícia à vida, visando assegurar condições ao desenvolvimento sócio-econômico, aos interesses da segurança nacional e à proteção da dignidade da vida humana. IV - Resta verificado que o reservatório de esgoto do Presídio de Segurança Média da comarca de Três Lagoas foi irregularmente interligado ao reservatório de captação de águas pluviais, fato que resultou em vários danos ao meio ambiente em decorrência da irregularidade do reservatório de esgoto, decorrendo em consideráveis riscos à saúde dos reeducandos, suas famílias e funcionários do estabelecimento prisional, bem como ao meio ambiente (pelo relatório elaborado pela Polícia Militar Ambiental). V - Acolho parcialmente a pretensão da Agência Estadual de Administração do Sistema Penitenciário do Estado de Mato Grosso do Sul – AGEPEN, para prorrogar para 03 (três) anos, a partir do trânsito em julgado da presente demanda, o prazo para implementação de prévio tratamento dos efluentes nos termos do licenciamento a ser providenciado e apresentado ao Instituto de Meio Ambiente de Mato Grosso do Sul - IMASUL. Todavia, tendo em vista o acolhimento do pedido de ampliação para o tratamento dos efluentes de 01 para 03 anos, torna-se despiciendo qualquer discussão acerca da multa diária para o caso de descumprimento, visto que o prazo dilatado se mostra suficiente e proporcional à resolutividade do problema verificado. VI - Recursos de apelação do Estado de Mato Grosso do Sul e da Agência Estadual de Administração do Sistema Penitenciário do Estado de Mato Grosso do Sul conhecidos e parcialmente providos.""";;;;;;;;;;;;;;;;;;;;;;
0802124-83.2019.8.12.0021,Apelação Cível / Dano Ambiental,Des. Amaury da Silva Kuklinski,Três Lagoas,3ª Câmara Cível,2021-08-02,2021-08-09,Ementa: APELAÇÃO CÍVEL – AÇÃO DE INDENIZAÇÃO POR DANOS MATERIAIS E MORAIS DECORRENTES DE DANOS AMBIENTAIS – PRELIMINARES DE ILEGITIMIDADE ATIVA E PASSIVA – ILEGITIMIDADE ATIVA RELEGADA AO MÉRITO – ILEGITIMIDADE PASSIVA – AFASTADA – EXTINÇÃO DO PROCESSO COM RESOLUÇÃO DE MÉRITO PELO RECONHECIMENTO DA PRESCRIÇÃO – IMPRESCRITIBILIDADE DO DANO AMBIENTAL NÃO APLICÁVEL AOS REFLEXOS PATRIMONIAIS DE NATUREZA INDIVIDUAL – FALTA DE ENERGIA – FECHAMENTO DAS COMPORTAS DA HIDRELÉTRICA – MORTANDADE DE TONELADAS DE PEIXES – FATO OCORRIDO EM 10/11/2009 – PRETENSÃO INDENIZATÓRIA INDIVIDUAL – CONTAGEM DO PRAZO PRESCRICIONAL – EVENTO DANOSO – ART. 189 DO CÓDIGO CIVIL – AUSÊNCIA DE INTERRUPÇÃO DO PRAZO PRESCRICIONAL PARA AJUIZAMENTO DE AÇÃO INDIVIDUAL EM RAZÃO DO AJUIZAMENTO DE AÇÃO COLETIVA – NECESSIDADE DE SIMILITUDE ENTRE AS PRETENSÕES DE AMBAS AS AÇÕES – SENTENÇA MANTIDA – RECURSO CONHECIDO E DESPROVIDO.;;;;;;;;;;;;;;;;;;;;;;
"0800620-39.2019.8.12.0022,Apelação Cível / Dano Ambiental,Des. Fernando Mauro Moreira Marinho,Anaurilândia,2ª Câmara Cível,2021-08-03,2021-08-09,""Ementa: APELAÇÃO CÍVEL - AÇÃO DE INDENIZAÇÃO POR DANOS MATERIAIS MORAIS – FALTA DE ENERGIA NA USINA – MORTANDADE DE PEIXES – PRESCRIÇÃO – TERMO INICIAL - EVENTO DANOSO - RECURSO DESPROVIDO 1. A ação visando a reparação civil de interesse individual fundamentada em dano ambiental prescreve em 3 (três) anos. 2. Conforme artigo 189 do Código Civil, aplica-se o princípio da acto nata, contando-se o prazo prescricional a partir da data em que nasce a pretensão da ação, qual seja, em 10 de novembro de 2009, o que torna inafastável o reconhecimento da prescrição no caso concreto""";;;;;;;;;;;;;;;;;;;;;;
"0900066-53.2018.8.12.0053,Apelação Cível / Área de Preservação Permanente,Des. Eduardo Machado Rocha,Dois Irmãos do Buriti,2ª Câmara Cível,2021-08-03,2021-08-09,""Ementa: APELAÇÃO CÍVEL E RECURSO ADESIVO – AÇÃO CIVIL PÚBLICA – DANO AMBIENTAL – ACOLHIMENTO DA PRELIMINAR DE INVERSÃO DO ÔNUS DA PROVA – PRINCÍPIO DA PRECAUÇÃO - SENTENÇA TORNADA INSUBSISTENTE – APELAÇÃO PROVIDA E RECURSO ADESIVO DO RÉU PREJUDICADO. O princípio da inversão do ônus da prova em matéria ambiental deriva da proteção à coletividade, da mesma maneira que garante o direito do acusado de comprovar que sua conduta não provocou um ilícito ambiental. Pela interpretação conjugada do art. 6.º, inciso VIII, do CDC c/c o art. 21, da Lei n.º 7.347/1985 e o princípio da precaução, mostra-se perfeitamente aplicável a inversão do ônus da prova em benefício do Ministério Público. Sendo indeferida a inversão do ônus da prova, é de rigor tornar insubsistente a sentença de primeiro grau, com o retorno dos autos à origem para a reabertura da fase de instrução processual.""";;;;;;;;;;;;;;;;;;;;;;
"0822151-50.2019.8.12.0001,Apelação Cível / Anulação de Débito Fiscal,Des. Fernando Mauro Moreira Marinho,Campo Grande,2ª Câmara Cível,2021-07-30,2021-08-06,""Ementa: APELAÇÃO CÍVEL – AÇÃO ANULATÓRIA DE DÉBITO FISCAL – MULTA ADMINISTRATIVA POR INFRAÇÃO AMBIENTAL – ENTUPIMENTO ESGOTO VIA PÚBLICA - POLUIÇÃO AMBIENTAL - PRELIMINAR DE PRESCRIÇÃO – AFASTADA – AUTO DE INFRAÇÃO – VÁLIDO – REQUISITOS LEGAIS PREENCHIDOS – CONCESSÃO DE PRAZO PARA SANAR IRREGULARIDADE – CRITÉRIO DA ADMINISTRAÇÃO PÚBLICA – PODER DISCRICIONÁRIO – RECURSO PARCIALMENTE CONHECIDO E DESPROVIDO – SENTENÇA DE IMPROCEDÊNCIA MANTIDA – RECURSO DESPROVIDO. 1. Não houve a prescrição do auto de infração, pois, como visto, o credor/requerido ainda tem a possibilidade de cobrar da apelante a multa devida, uma vez que o processo administrativo encerrou-se em 2019. 2. O auto de infração por poluição ambiental obedeceu a legislação vigente, pois contém todas as informações legais exigíveis, de forma que plenamente válido. 3. Não há vício no auto de infração em razão da ausência de concessão de prazo para a autora sanar a irregularidade, pois conforme se infere do art. 171 da Lei nº 2.909/92, fica a critério da Administração, em razão de seu Poder Discricionário, notificar ou não a parte infratora, antes de sua autuação, para que, em determinado prazo, sane as irregularidades. 4. No presente caso, o problema de entupimento do ponto da rede pública coletora de esgoto era recorrente naquele local, conforme consta do Laudo de Vistoria. Logo, a apelante tinha conhecimento de que havia problema de entupimento constante naquele local e, mesmo assim, não providenciou meios de saná-lo definitivamente, tornando quase desnecessária prévia notificação antes da penalização. 5. Ademais, ainda que fosse sanada a irregularidade antes da lavratura do auto de infração, é certo que o prejuízo ambiental, com o extravasamento do esgoto e lançamento na via pública, podendo, inclusive causar acidente de trânsito, já havia ocorrido, restando configurado o disposto no art. 77 do Código de Polícia Administrativa do Município de Campo Grande/MS, sujeitando a infratora à imposição de multa prevista no art. 161 do mesmo códex. 6. Recurso desprovido.""";;;;;;;;;;;;;;;;;;;;;;
0800842-07.2019.8.12.0022,Apelação Cível / Dano Ambiental,Des. Amaury da Silva Kuklinski,Anaurilândia,3ª Câmara Cível,2021-08-02,2021-08-06,Ementa: APELAÇÃO CÍVEL – AÇÃO DE INDENIZAÇÃO POR DANOS MATERIAIS E MORAIS DECORRENTES DE DANOS AMBIENTAIS – EXTINÇÃO DO PROCESSO COM RESOLUÇÃO DE MÉRITO PELO RECONHECIMENTO DA PRESCRIÇÃO – IMPRESCRITIBILIDADE DO DANO AMBIENTAL NÃO APLICÁVEL AOS REFLEXOS PATRIMONIAIS DE NATUREZA INDIVIDUAL – FALTA DE ENERGIA – FECHAMENTO DAS COMPORTAS DA HIDRELÉTRICA – MORTANDADE DE TONELADAS DE PEIXES – FATO OCORRIDO EM 10/11/2009 – PRETENSÃO INDENIZATÓRIA INDIVIDUAL – CONTAGEM DO PRAZO PRESCRICIONAL – EVENTO DANOSO – ART. 189 DO CÓDIGO CIVIL – AUSÊNCIA DE INTERRUPÇÃO DO PRAZO PRESCRICIONAL PARA AJUIZAMENTO DE AÇÃO INDIVIDUAL EM RAZÃO DO AJUIZAMENTO DE AÇÃO COLETIVA – NECESSIDADE DE SIMILITUDE ENTRE AS PRETENSÕES DE AMBAS AS AÇÕES – SENTENÇA MANTIDA – RECURSO CONHECIDO E DESPROVIDO.;;;;;;;;;;;;;;;;;;;;;;
"1405140-88.2021.8.12.0000,Agravo de Instrumento / Tutela de Urgência,Des. Odemilson Roberto Castro Fassa,Nova Andradina,3ª Câmara Cível,2021-07-30,2021-08-04,""Ementa: AGRAVO DE INSTRUMENTO. CUMPRIMENTO DE SENTENÇA PROFERIDA EM AÇÃO CIVIL PÚBLICA. OBRIGAÇÕES DE FAZER E NÃO FAZER – DEMOLIÇÃO E REMOÇÃO DE EDIFICAÇÕES – REFLORESTAMENTO. SUSPENSÃO DO PROCESSO – REJEITADA. PRETENSÃO DE EXPEDIÇÃO DE TERMO DE REFERÊNCIA PELO ÓRGÃO AMBIENTAL COMPETENTE – REJEITADA – IMPOSSIBILIDADE DE REDISCUSSÃO DO JULGADO. ALEGAÇÃO DE POSSIBILIDADE DE REGULARIZAÇÃO FUNDIÁRIA – REJEITADA – FIDELIDADE AO TÍTULO EXECUTIVO – IMPOSSIBILIDADE DE REDISCUSSÃO DO JULGADO. DECISÃO MANTIDA. RECURSO DESPROVIDO. As ações civis públicas ajuizadas pelo Ministério Público Estadual por danos ambientais causados por ribeirinhos do Rio Ivinhema não estão conexas e seus provimentos jurisdicionais têm efeitos entre as partes, razão pela qual inexiste prejudicialidade que justifique a suspensão da demanda. O cumprimento de sentença é limitado ao exato comando expresso no título executivo, por força do princípio da fidelidade ao título, sendo descabida a rediscussão posterior dos termos decisórios.""";;;;;;;;;;;;;;;;;;;;;;
"0800314-37.2014.8.12.0025,Apelação Cível / Reserva legal,Des. Geraldo de Almeida Santiago,Bandeirantes,1ª Câmara Cível,2021-07-29,2021-08-03,""Ementa: APELAÇÃO PGEMS – AÇÃO CIVIL PÚBLICA INTENTADA PELO PARQUET – IMPROCEDÊNCIA – HONORÁRIOS PERICIAIS – ÔNUS DEVE SER IMPOSTO AO AUTOR DA AÇÃO – HIPOSSUFICIÊNCIA NÃO CONFIGURADA – CONTRÁRIO AO PARECER DA PGJ – RECURSO CONHECIDO E PROVIDO. 1) O cerne da discussão posta diz respeito ao pagamento dos honorários periciais na ação civil pública julgada improcedente, que tratou de suposto dano ao meio ambiente. 2) Dispõe o STJ na Súmula nº 618: A inversão do ônus da prova aplica-se às ações de degradação ambiental. Contudo, tal inversão não é absoluta, devendo ser observados os requisitos autorizadores, quais sejam, a hipossuficiência e a verossimilhança da alegação, art. 6º, inciso VIII, do CDC c/c art. 21 da Lei nº 7.347/85. 3) O Ministério Público possui plenas condições de provar os fatos constitutivos de direito alegado em sua inicial e, sendo assim, apto a demonstrar a veracidade de suas alegações, seja pela produção de provas documentais, testemunhais, e até mesmo periciais, como trata o caso em apreço. 4) Impor tal ônus à Fazenda Pública, sob custeio dos impostos arrecadados pela população, não se mostra medida de justiça, uma vez que a instituição ministerial possui meios de arcar com tal intento. 5) Recurso conhecido e provido, sentença reformada para impor o pagamento dos honorários periciais ao Parquet.""";;;;;;;;;;;;;;;;;;;;;;
"1405649-19.2021.8.12.0000,Agravo de Instrumento / Provas em geral,Des. Marcos José de Brito Rodrigues,Maracaju,1ª Câmara Cível,2021-07-28,2021-07-30,""Ementa: AGRAVO DE INSTRUMENTO – AÇÃO CIVIL PÚBLICA DE OBRIGAÇÃO FAZER – DANO AMBIENTAL – INVERSÃO DO ÔNUS DA PROVA – AUSÊNCIA DA COMPROVAÇÃO DOS REQUISITOS NECESSÁRIOS- DECISÃO MODIFICADA – RECURSO CONHECIDO E PROVIDO. Nos termos do art. 21 da Lei nº 7.347/85 combinado com o art. 6º, inciso VIII do Código de Defesa do Consumidor, aplicável a inversão do ônus da prova em ação civil pública, desde que for verossímil a alegação ou restar demonstrada a hipossuficiência da parte autora. Ausente a prova do desequilíbrio para a inversão do ônus probatório, o indeferimento é medida que se impõe.""";;;;;;;;;;;;;;;;;;;;;;
